from_waypoint,to_waypoint,distance_meters
wp_Red_Bldg,wp_1,7.00
wp_1,wp_Red_Bldg,7.00
wp_1,wp_2,12.00
wp_2,wp_1,12.00
wp_2,wp_3,8.00
wp_3,wp_2,8.00
wp_3,wp_4,8.00
wp_4,wp_3,8.00
wp_4,wp_SMH_Hall,10.00
wp_SMH_Hall,wp_4,10.00
wp_SMH_Hall,wp_5,9.00
wp_5,wp_SMH_Hall,9.00
wp_5,wp_6,22.00
wp_6,wp_5,22.00
wp_6,wp_7,51.00
wp_7,wp_6,51.00
wp_7,wp_8,54.00
wp_8,wp_7,54.00
wp_8,wp_9,4.00
wp_9,wp_8,4.00
wp_9,wp_10,3.00
wp_10,wp_9,3.00
wp_10,wp_11,5.00
wp_11,wp_10,5.00
wp_11,wp_12,5.00
wp_12,wp_11,5.00
wp_12,wp_SFJ,23.00
wp_SFJ,wp_12,23.00
wp_SFJ,wp_13,19.00
wp_13,wp_SFJ,19.00
wp_13,wp_5,37.00
wp_5,wp_13,37.00
wp_13,wp_14,39.00
wp_14,wp_13,39.00
wp_14,wp_Entrance,39.00
wp_Entrance,wp_14,39.00
wp_14,wp_15,14.00
wp_15,wp_14,14.00
wp_15,wp_16,19.00
wp_16,wp_15,19.00
wp_16,wp_17,27.00
wp_17,wp_16,27.00
wp_17,wp_18,5.00
wp_18,wp_17,5.00
wp_18,wp_19,4.00
wp_19,wp_18,4.00
wp_19,wp_20,4.00
wp_20,wp_19,4.00
wp_20,wp_12,11.00
wp_12,wp_20,11.00
wp_20,wp_21,5.00
wp_21,wp_20,5.00
wp_21,wp_22,5.00
wp_22,wp_21,5.00
wp_22,wp_23,5.00
wp_23,wp_22,5.00
wp_23,wp_24,4.00
wp_24,wp_23,4.00
wp_24,wp_25,3.00
wp_25,wp_24,3.00
wp_24,wp_26,21.00
wp_26,wp_24,21.00
wp_25,wp_17,6.00
wp_17,wp_25,6.00
wp_26,wp_27,16.00
wp_27,wp_26,16.00
wp_27,wp_30,40.00
wp_30,wp_27,40.00
wp_28,wp_16,21.00
wp_16,wp_28,21.00
wp_29,wp_28,13.00
wp_28,wp_29,13.00
wp_Main_Bldg,wp_29,10.00
wp_29,wp_Main_Bldg,10.00
wp_30,wp_Main_Bldg,19.00
wp_Main_Bldg,wp_30,19.00
wp_31,wp_27,13.00
wp_27,wp_31,13.00
wp_31,wp_32,17.00
wp_32,wp_31,17.00
wp_32,wp_26,14.00
wp_26,wp_32,14.00
wp_32,wp_33,6.00
wp_33,wp_32,6.00
wp_33,wp_34,6.00
wp_34,wp_33,6.00
wp_34,wp_35,5.00
wp_35,wp_34,5.00
wp_35,wp_8,7.00
wp_8,wp_35,7.00
wp_35,wp_36,49.00
wp_36,wp_35,49.00
wp_36,wp_37,5.00
wp_37,wp_36,5.00
wp_36,wp_38,31.00
wp_38,wp_36,31.00
wp_37,wp_7,8.00
wp_7,wp_37,8.00
wp_38,wp_STL,8.00
wp_STL,wp_38,8.00
wp_39,wp_STL,37.00
wp_STL,wp_39,37.00
wp_39,wp_31,15.00
wp_31,wp_39,15.00
wp_39,wp_PGN,9.00
wp_PGN,wp_39,9.00
wp_40,wp_38,72.00
wp_38,wp_40,72.00
wp_40,wp_41,4.00
wp_41,wp_40,4.00
wp_41,wp_42,16.00
wp_42,wp_41,16.00
wp_42,wp_GGN,29.00
wp_GGN,wp_42,29.00
wp_42,wp_SMH,53.00
wp_SMH,wp_42,53.00
wp_SMH,wp_SRH,20.00
wp_SRH,wp_SMH,20.00
wp_SRH,wp_SGH,14.00
wp_SGH,wp_SRH,14.00
wp_SRH,wp_38,22.00
wp_38,wp_SRH,22.00
wp_SGH,wp_Yellow_Canteen,21.00
wp_Yellow_Canteen,wp_SGH,21.00
wp_Yellow_Canteen,wp_Warehouse,15.00
wp_Warehouse,wp_Yellow_Canteen,15.00
wp_Yellow_Canteen,wp_37,19.00
wp_37,wp_Yellow_Canteen,19.00
wp_43,wp_40,56.00
wp_40,wp_43,56.00
wp_43,wp_PGN,59.00
wp_PGN,wp_43,59.00
wp_43,wp_44,12.00
wp_44,wp_43,12.00
wp_44,wp_45,35.00
wp_45,wp_44,35.00
wp_45,wp_31,36.00
wp_31,wp_45,36.00
wp_45,wp_46,10.00
wp_46,wp_45,10.00
wp_46,wp_27,34.00
wp_27,wp_46,34.00
wp_46,wp_47,29.00
wp_47,wp_46,29.00
wp_47,wp_MGN,14.00
